Price            Close                                         ...   Volume                                 
Ticker             IBM        MSFT          ^DJI        ^GSPC  ...      IBM      MSFT       ^DJI       ^GSPC
Date                                                           ...                                          
2025-07-28  261.442352  511.658875  44837.558594  6389.770020  ...  5192500  14308000  416510000  4565620000
2025-07-29  260.647736  511.728760  44632.988281  6370.859863  ...  4627300  16469200  488780000  5076120000
2025-07-30  258.512177  512.397644  44461.281250  6362.899902  ...  3718300  26380400  456840000  5375070000
2025-07-31  251.449905  532.624390  44130.980469  6339.390137  ...  6739100  51617300  689040000  6077080000
2025-08-01  248.370743  523.249817  43588.578125  6238.009766  ...  9683400  28977600  705150000  5827150000
2025-08-04  250.287766  534.760925  44173.640625  6329.939941  ...  5280600  25349000  514180000  4842580000
2025-08-05  248.986572  526.883850  44111.738281  6299.189941  ...  5823000  19171600  455690000  5517410000
2025-08-06  250.585754  524.078491  44193.121094  6345.060059  ...  3692100  21355700  518970000  5408560000
2025-08-07  248.479996  519.985229  43968.640625  6340.000000  ...  6251300  16079100  492480000  5306090000
2025-08-08  242.270004  521.183228  44175.609375  6389.450195  ...  6828400  15531000  452500000  4769910000
2025-08-11  236.300003  520.913696  43975.089844  6373.450195  ...  9382000  20194400  431510000  4652400000
2025-08-12  234.770004  528.371399  44458.609375  6445.759766  ...  8792800  18667000  442850000  5135300000
2025-08-13  240.070007  519.725647  44922.269531  6466.580078  ...  5663600  19619200  521430000  5195950000
2025-08-14  237.110001  521.622498  44911.261719  6468.540039  ...  4556700  20269100  453530000  4462050000
2025-08-15  239.720001  519.316284  44946.121094  6449.799805  ...  4344300  25213300  547270000  4575060000
2025-08-18  239.449997  516.251282  44911.820312  6449.149902  ...  3569600  23760600  416460000  4162290000
2025-08-19  241.279999  508.933350  44922.269531  6411.370117  ...  3328300  21481000  466010000  4377440000
2025-08-20  242.550003  504.890015  44938.308594  6395.779785  ...  3240100  27723000  512550000  4470390000
2025-08-21  239.399994  504.239990  44785.500000  6370.169922  ...  2991900  18443300  407540000  4013560000
2025-08-22  242.089996  507.230011  45631.738281  6466.910156  ...  3134900  24324200  484720000  5046860000
2025-08-25  239.429993  504.260010  45282.468750  6439.319824  ...  3512100  21621700  393960000  4059070000

[21 rows x 20 columns]
